Date,League,LeagueName,HomeTeam,AwayTeam,FTHG,FTAG,O25,U25,BTTSY,BTTSN
2024-08-02,DK1,Dänemark · Superliga,Midtjylland,Odense,4,2,1.42,2.58,1.41,2.69
2024-08-03,DK1,Dänemark · Superliga,Odense,Kopenhagen,2,0,1.69,2.09,1.64,2.31
2024-08-05,DK1,Dänemark · Superliga,Kopenhagen,Brøndby,0,1,2.0,1.89,1.84,1.91
2024-08-07,DK1,Dänemark · Superliga,Nordsjælland,Midtjylland,1,2,1.28,3.23,1.33,3.06
2024-08-08,DK1,Dänemark · Superliga,Midtjylland,Aarhus,0,1,1.76,2.04,1.69,2.24
2024-08-11,DK1,Dänemark · Superliga,Odense,Aalborg,2,1,2.52,1.52,2.15,1.6
2024-08-12,DK1,Dänemark · Superliga,Odense,Nordsjælland,0,0,1.66,2.29,1.49,2.41
2024-08-13,DK1,Dänemark · Superliga,Midtjylland,Nordsjælland,2,1,1.37,3.07,1.33,3.05
2024-08-15,DK1,Dänemark · Superliga,Aarhus,Aalborg,0,0,2.39,1.62,2.1,1.73
2024-08-17,DK1,Dänemark · Superliga,Silkeborg,Aalborg,0,0,2.21,1.66,1.9,1.89
2024-08-18,DK1,Dänemark · Superliga,Silkeborg,Midtjylland,0,2,1.71,2.05,1.59,2.18
2024-08-20,DK1,Dänemark · Superliga,Silkeborg,Kopenhagen,3,0,2.29,1.63,1.88,1.85
2024-08-21,DK1,Dänemark · Superliga,Nordsjælland,Odense,0,0,1.92,1.94,1.82,2.09
2024-08-22,DK1,Dänemark · Superliga,Aalborg,Kopenhagen,2,2,2.09,1.78,1.81,1.9
2024-08-25,DK1,Dänemark · Superliga,Odense,Midtjylland,0,1,1.55,2.53,1.47,2.67
2024-08-28,DK1,Dänemark · Superliga,Silkeborg,Brøndby,0,3,1.81,2.0,1.77,2.13
2024-08-30,DK1,Dänemark · Superliga,Midtjylland,Aalborg,1,1,2.08,1.78,2.01,1.83
2024-08-31,DK1,Dänemark · Superliga,Aarhus,Brøndby,2,2,2.1,1.61,1.86,1.92
2024-09-02,DK1,Dänemark · Superliga,Silkeborg,Nordsjælland,3,2,1.69,1.97,1.6,2.13
2024-09-04,DK1,Dänemark · Superliga,Silkeborg,Aarhus,1,3,2.12,1.64,1.86,1.8
2024-09-06,DK1,Dänemark · Superliga,Aarhus,Kopenhagen,2,1,1.67,2.12,1.66,2.16
