Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5
ES1,15/08/2024,Ath Bilbao,Getafe,1,1,D,2.2,1.67,2.24,1.67
ES1,15/08/2024,Betis,Girona,1,1,D,1.97,1.93,1.93,1.9
ES1,16/08/2024,Celta,Alaves,2,1,H,2.2,1.67,2.25,1.67
ES1,16/08/2024,Las Palmas,Sevilla,2,2,D,2.2,1.67,2.18,1.71
ES1,17/08/2024,Osasuna,Leganes,1,1,D,2.3,1.62,2.34,1.62
ES1,17/08/2024,Valencia,Barcelona,1,2,A,1.85,2.05,1.82,2.02
ES1,18/08/2024,Sociedad,Vallecano,1,2,A,2.3,1.62,2.34,1.61
ES1,18/08/2024,Mallorca,Real Madrid,1,1,D,1.95,1.95,1.92,1.91
ES1,19/08/2024,Valladolid,Espanol,1,0,H,2.3,1.62,2.33,1.61
ES1,19/08/2024,Villarreal,Ath Madrid,2,2,D,1.73,2.1,1.7,2.19
ES1,23/08/2024,Celta,Valencia,3,1,H,2.1,1.73,2.14,1.73
ES1,23/08/2024,Sevilla,Villarreal,1,2,A,1.73,2.1,1.74,2.12
ES1,24/08/2024,Osasuna,Mallorca,1,0,H,2.75,1.44,2.68,1.47
ES1,24/08/2024,Barcelona,Ath Bilbao,2,1,H,1.67,2.2,1.71,2.16
ES1,24/08/2024,Espanol,Sociedad,0,1,A,2.63,1.5,2.64,1.48
ES1,24/08/2024,Getafe,Vallecano,0,0,D,2.75,1.44,2.77,1.45
ES1,25/08/2024,Real Madrid,Valladolid,3,0,H,1.4,3,1.39,2.96
ES1,25/08/2024,Leganes,Las Palmas,2,1,H,2.75,1.44,2.69,1.46
ES1,25/08/2024,Alaves,Betis,0,0,D,2.38,1.57,2.39,1.59
ES1,25/08/2024,Ath Madrid,Girona,3,0,H,1.62,2.3,1.63,2.31
ES1,26/08/2024,Villarreal,Celta,4,3,H,1.98,1.92,1.93,1.88
ES1,27/08/2024,Mallorca,Sevilla,0,0,D,2.5,1.53,2.52,1.53
ES1,27/08/2024,Vallecano,Barcelona,1,2,A,1.91,1.99,1.88,1.95
ES1,28/08/2024,Ath Bilbao,Valencia,1,0,H,2.1,1.73,2.15,1.73
ES1,28/08/2024,Valladolid,Leganes,0,0,D,2.63,1.5,2.65,1.49
ES1,28/08/2024,Ath Madrid,Espanol,0,0,D,1.8,2,1.8,2.02
ES1,28/08/2024,Sociedad,Alaves,1,2,A,2.5,1.53,2.48,1.55
ES1,29/08/2024,Girona,Osasuna,4,0,H,1.8,2,1.77,2.06
ES1,29/08/2024,Las Palmas,Real Madrid,1,1,D,1.57,2.38,1.56,2.42
ES1,31/08/2024,Barcelona,Valladolid,7,0,H,1.44,2.75,1.46,2.72
ES1,31/08/2024,Ath Bilbao,Ath Madrid,0,1,A,2,1.8,2.06,1.78
ES1,31/08/2024,Espanol,Vallecano,2,1,H,2.63,1.5,2.66,1.49
ES1,31/08/2024,Leganes,Mallorca,0,1,A,2.75,1.44,2.79,1.44
ES1,31/08/2024,Valencia,Villarreal,1,1,D,1.84,2.06,1.84,1.99
ES1,01/09/2024,Alaves,Las Palmas,2,0,H,2.3,1.62,2.34,1.62
ES1,01/09/2024,Osasuna,Celta,3,2,H,2.1,1.73,2.1,1.76
ES1,01/09/2024,Sevilla,Girona,0,2,A,1.67,2.2,1.68,2.22
ES1,01/09/2024,Getafe,Sociedad,0,0,D,3,1.4,2.98,1.4
ES1,01/09/2024,Real Madrid,Betis,2,0,H,1.53,2.5,1.53,2.49
ES1,13/09/2024,Betis,Leganes,2,0,H,2.3,1.62,2.33,1.62
ES1,14/09/2024,Mallorca,Villarreal,1,2,A,2.1,1.73,2.11,1.75
ES1,14/09/2024,Espanol,Alaves,3,2,H,2.63,1.5,2.59,1.51
ES1,14/09/2024,Sevilla,Getafe,1,0,H,2.63,1.5,2.62,1.5
ES1,14/09/2024,Sociedad,Real Madrid,0,2,A,2,1.9,1.96,1.87
ES1,15/09/2024,Celta,Valladolid,3,1,H,1.85,2.05,1.82,2.01
ES1,15/09/2024,Girona,Barcelona,1,4,A,1.53,2.5,1.52,2.53
ES1,15/09/2024,Las Palmas,Ath Bilbao,2,3,A,2.1,1.73,2.1,1.76
ES1,15/09/2024,Ath Madrid,Valencia,3,0,H,1.92,1.98,1.89,1.94
ES1,16/09/2024,Vallecano,Osasuna,3,1,H,2.63,1.5,2.57,1.51
ES1,17/09/2024,Mallorca,Sociedad,1,0,H,3.2,1.36,3.04,1.38
ES1,18/09/2024,Betis,Getafe,2,1,H,3,1.4,2.89,1.42
ES1,19/09/2024,Leganes,Ath Bilbao,0,2,A,2.5,1.53,2.5,1.54
ES1,20/09/2024,Alaves,Sevilla,2,1,H,2.2,1.67,2.23,1.68
